state_code,county_code,site_num,latitude,longitude,parameter_name_x,sample_duration_x,metric_used_x,units_x,mean_x,stv_x,poc_x,state_name_x,county_name_x,city_name_x,parameter_name_y,sample_duration_y,metric_used_y,units_y,mean_y,stv_y,poc_y,state_name_y,county_name_y,city_name_y
1,3,10,30.497478,-87.880258,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.044808,0.012048,1,Alabama,Baldwin,Fairhope,PM2.5 - Local Conditions,24 HOUR,Daily Mean,Micrograms/cubic meter (LC),7.551402,3.148146,1,Alabama,Baldwin,Fairhope
1,33,1002,34.762619,-87.638097,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.043192,0.009939,1,Alabama,Colbert,Muscle Shoals,PM2.5 - Local Conditions,24 HOUR,Daily Mean,Micrograms/cubic meter (LC),7.213235,3.127724,1,Alabama,Colbert,Muscle Shoals
1,49,9991,34.289001,-85.970065,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.048427,0.010055,1,Alabama,DeKalb,Crossville,,,,,,,,,,
1,51,4,32.53568,-86.255193,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.045878,0.011226,1,Alabama,Elmore,Wetumpka,,,,,,,,,,
1,55,11,33.904039,-86.053867,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.048975,0.011661,1,Alabama,Etowah,Southside,,,,,,,,,,
1,69,4,31.188933,-85.423094,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.040938,0.011056,1,Alabama,Houston,Dothan,,,,,,,,,,
1,73,23,33.553056,-86.815,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.045349,0.013174,1,Alabama,Jefferson,Birmingham,PM2.5 - Local Conditions,24 HOUR,Daily Mean,Micrograms/cubic meter (LC),10.310833,4.726695,1,Alabama,Jefferson,Birmingham
1,73,1003,33.485556,-86.915,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.050222,0.014085,1,Alabama,Jefferson,Fairfield,,,,,,,,,,
1,73,1005,33.331111,-87.003611,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.049355,0.013261,1,Alabama,Jefferson,,PM2.5 - Local Conditions,24 HOUR,Daily Mean,Micrograms/cubic meter (LC),8.701667,3.471492,1,Alabama,Jefferson,
1,73,1010,33.545278,-86.549167,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.048765,0.011909,1,Alabama,Jefferson,Leeds,PM2.5 - Local Conditions,24 HOUR,Daily Mean,Micrograms/cubic meter (LC),8.363934,3.695269,1,Alabama,Jefferson,Leeds
1,73,5003,33.801667,-86.9425,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.048583,0.011677,1,Alabama,Jefferson,,,,,,,,,,,
1,73,6002,33.578333,-86.773889,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.048532,0.013523,1,Alabama,Jefferson,Tarrant (corporate name for Tarrant City),,,,,,,,,,
1,89,14,34.687761,-86.586362,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.049456,0.010298,1,Alabama,Madison,Huntsville,PM2.5 - Local Conditions,24 HOUR,Daily Mean,Micrograms/cubic meter (LC),7.440179,3.305945,1,Alabama,Madison,Huntsville
1,89,22,34.772727,-86.756174,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.048544,0.010291,1,Alabama,Madison,Huntsville,,,,,,,,,,
1,97,3,30.770181,-88.087761,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.042892,0.012545,1,Alabama,Mobile,Chickasaw,PM2.5 - Local Conditions,24 HOUR,Daily Mean,Micrograms/cubic meter (LC),8.302679,3.313485,1,Alabama,Mobile,Chickasaw
1,97,2005,30.474305,-88.141022,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.041506,0.01144,1,Alabama,Mobile,Theodore,,,,,,,,,,
1,101,1002,32.412811,-86.263394,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.045469,0.011089,1,Alabama,Montgomery,Montgomery,PM2.5 - Local Conditions,24 HOUR,Daily Mean,Micrograms/cubic meter (LC),8.878378,3.596018,1,Alabama,Montgomery,Montgomery
1,103,11,34.530717,-86.967536,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.048373,0.011061,1,Alabama,Morgan,Decatur,PM2.5 - Local Conditions,24 HOUR,Daily Mean,Micrograms/cubic meter (LC),7.627826,3.189994,1,Alabama,Morgan,Decatur
1,113,3,32.437028,-84.999653,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.043661,0.011393,1,Alabama,Russell,Phenix City,PM2.5 - Local Conditions,24 HOUR,Daily Mean,Micrograms/cubic meter (LC),9.322881,4.046174,1,Alabama,Russell,Phenix City
1,117,4,33.317142,-86.825754,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.049135,0.013456,1,Alabama,Shelby,Helena,,,,,,,,,,
1,119,3,32.362606,-88.277992,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.040958,0.01114,1,Alabama,Sumter,,,,,,,,,,,
1,125,10,33.089772,-87.459733,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.042373,0.012116,1,Alabama,Tuscaloosa,Tuscaloosa,,,,,,,,,,
1,27,1,33.284928,-85.803608,,,,,,,,Alabama,,,PM2.5 - Local Conditions,24 HOUR,Daily Mean,Micrograms/cubic meter (LC),7.550467,3.442393,1,Alabama,Clay,Ashland
1,49,1003,34.288567,-85.969858,,,,,,,,Alabama,,,PM2.5 - Local Conditions,24 HOUR,Daily Mean,Micrograms/cubic meter (LC),7.55,3.508534,1,Alabama,DeKalb,Crossville
1,55,10,33.991494,-85.992647,,,,,,,,Alabama,,,PM2.5 - Local Conditions,24 HOUR,Daily Mean,Micrograms/cubic meter (LC),8.410526,3.999012,1,Alabama,Etowah,Gadsden
1,69,3,31.224783,-85.390789,,,,,,,,Alabama,,,PM2.5 - Local Conditions,24 HOUR,Daily Mean,Micrograms/cubic meter (LC),8.115652,3.356993,1,Alabama,Houston,Dothan
1,73,2003,33.499722,-86.924167,,,,,,,,Alabama,,,PM2.5 - Local Conditions,24 HOUR,Daily Mean,Micrograms/cubic meter (LC),8.705,3.555251,1,Alabama,Jefferson,Birmingham
1,73,2059,33.521427,-86.844112,,,,,,,,Alabama,,,PM2.5 - Local Conditions,24 HOUR,Daily Mean,Micrograms/cubic meter (LC),9.435593,4.373894,1,Alabama,Jefferson,Birmingham
1,125,4,33.189931,-87.484189,,,,,,,,Alabama,,,PM2.5 - Local Conditions,24 HOUR,Daily Mean,Micrograms/cubic meter (LC),7.941964,3.348864,1,Alabama,Tuscaloosa,Tuscaloosa
2,68,3,63.7232,-148.9676,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.036373,0.009042,1,Alaska,Denali ,,,,,,,,,,,
2,90,34,64.84569,-147.727413,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.027803,0.012068,1,Alaska,Fairbanks North Star ,Fairbanks,PM2.5 - Local Conditions,24 HOUR,Daily Mean,Micrograms/cubic meter (LC),6.963158,6.171536,1,Alaska,Fairbanks North Star ,Fairbanks
