state,city,latitude,longitude,pollutant,average
Alabama,Fairhope,30.497478,-87.880258,Ozone,0.040489
Alabama,Muscle Shoals,34.762619,-87.638097,Ozone,0.038221
Alabama,Crossville,34.289001,-85.97006499999998,Ozone,0.044582
Alabama,Wetumpka,32.53568,-86.25519299999998,Ozone,0.040902
Alabama,Southside,33.904039000000004,-86.05386700000001,Ozone,0.044016
Alabama,Dothan,31.188933000000002,-85.42309399999998,Ozone,0.037248
Alabama,Birmingham,33.553056,-86.815,Ozone,0.039671
Alabama,Fairfield,33.485555999999995,-86.915,Ozone,0.044638
Alabama,,33.331111,-87.00361099999998,Ozone,0.043936
Alabama,Leeds,33.545278,-86.54916700000001,Ozone,0.043135
Alabama,,33.801667,-86.94250000000002,Ozone,0.043668
Alabama,Tarrant (corporate name for Tarrant City),33.578333,-86.773889,Ozone,0.042846
Alabama,Huntsville,34.687761,-86.586362,Ozone,0.045025
Alabama,Huntsville,34.772727,-86.756174,Ozone,0.044047
Alabama,Chickasaw,30.770181,-88.087761,Ozone,0.037174
Alabama,Theodore,30.474305,-88.14102199999998,Ozone,0.036399
Alabama,Montgomery,32.412811,-86.26339399999998,Ozone,0.040881
Alabama,Decatur,34.530717,-86.967536,Ozone,0.043561
Alabama,Phenix City,32.437028000000005,-84.99965300000001,Ozone,0.039408
Alabama,Helena,33.317142,-86.82575399999998,Ozone,0.043556
Alabama,,32.362606,-88.277992,Ozone,0.036283
Alabama,Tuscaloosa,33.089772,-87.459733,Ozone,0.037436000000000004
Alaska,,63.72320000000001,-148.9676,Ozone,0.033841
Alaska,Fairbanks,64.84568999999999,-147.72741299999998,Ozone,0.023862
Arizona,,32.009409999999995,-109.38906000000001,Ozone,0.047832
Arizona,Flagstaff,35.206111,-111.652777,Ozone,0.046223
Arizona,Grand Canyon Village,36.058640000000004,-112.1836,Ozone,0.048322000000000004
Arizona,Tonto National Monument,33.6547,-111.1074,Ozone,0.051175
Arizona,Wenden,34.243900000000004,-113.5586,Ozone,0.046874
Arizona,Phoenix,33.48378,-112.14256,Ozone,0.044343
Arizona,Mesa,33.41018,-111.86536000000001,Ozone,0.049634
Arizona,Mesa,33.41018,-111.86536000000001,Ozone,0.049152
Arizona,Phoenix,33.56031,-112.06618999999999,Ozone,0.047788
Arizona,Phoenix,33.56031,-112.06618999999999,Ozone,0.047187
Arizona,Mesa,33.45244,-111.73326999999999,Ozone,0.049611
Arizona,Mesa,33.45244,-111.73326999999999,Ozone,0.049331
Arizona,Glendale,33.57453,-112.19193,Ozone,0.043085000000000005
Arizona,Scottsdale,33.70639,-111.85575,Ozone,0.051861000000000004
Arizona,Scottsdale,33.70639,-111.85575,Ozone,0.051476
Arizona,Phoenix,33.45797,-112.04659,Ozone,0.046437
Arizona,Scottsdale,33.47968,-111.91721000000001,Ozone,0.04194
Arizona,Phoenix,33.40314,-112.07526000000001,Ozone,0.046826
Arizona,Phoenix,33.40314,-112.07526000000001,Ozone,0.046936
Arizona,Chandler,33.29896,-111.88426000000001,Ozone,0.046925
Arizona,Chandler,33.29896,-111.88426000000001,Ozone,0.046746
Arizona,Tempe,33.41123,-111.93471000000001,Ozone,0.039958999999999995
Arizona,Cave Creek,33.821690000000004,-112.01726000000001,Ozone,0.050126
Arizona,Cave Creek,33.821690000000004,-112.01726000000001,Ozone,0.050239
Arizona,Surprise,33.63718,-112.34185,Ozone,0.046415
Arizona,Buckeye,33.36985,-112.62068000000001,Ozone,0.04175
Arizona,,33.290229,-112.160597,Ozone,0.049491
