state,city,latitude,longitude,pollutant,average
Alabama,Fairhope,30.497478,-87.880258,PM2.5 - Local Conditions,7.551401999999999
Alabama,Ashland,33.284928,-85.803608,PM2.5 - Local Conditions,7.5504669999999985
Alabama,Muscle Shoals,34.762619,-87.638097,PM2.5 - Local Conditions,7.213235000000001
Alabama,Crossville,34.288567,-85.969858,PM2.5 - Local Conditions,7.55
Alabama,Gadsden,33.991494,-85.99264699999998,PM2.5 - Local Conditions,8.410525999999999
Alabama,Dothan,31.224783000000002,-85.390789,PM2.5 - Local Conditions,8.115651999999999
Alabama,Birmingham,33.553056,-86.815,PM2.5 - Local Conditions,10.310833
Alabama,,33.331111,-87.00361099999998,PM2.5 - Local Conditions,8.701667
Alabama,Leeds,33.545278,-86.54916700000001,PM2.5 - Local Conditions,8.363934
Alabama,Birmingham,33.499722,-86.92416700000001,PM2.5 - Local Conditions,8.705
Alabama,Birmingham,33.521427,-86.844112,PM2.5 - Local Conditions,9.435593
Alabama,Huntsville,34.687761,-86.586362,PM2.5 - Local Conditions,7.440179
Alabama,Chickasaw,30.770181,-88.087761,PM2.5 - Local Conditions,8.302679
Alabama,Montgomery,32.412811,-86.26339399999998,PM2.5 - Local Conditions,8.878378
Alabama,Decatur,34.530717,-86.967536,PM2.5 - Local Conditions,7.627826
Alabama,Phenix City,32.437028000000005,-84.99965300000001,PM2.5 - Local Conditions,9.322881
Alabama,Tuscaloosa,33.189931,-87.484189,PM2.5 - Local Conditions,7.941964
Alaska,Fairbanks,64.840672,-147.722461,PM2.5 - Local Conditions,7.427439
Alaska,Fairbanks,64.840672,-147.722461,PM2.5 - Local Conditions,8.377059
Alaska,Fairbanks,64.84568999999999,-147.72741299999998,PM2.5 - Local Conditions,9.796793
Alaska,Fairbanks,64.84568999999999,-147.72741299999998,PM2.5 - Local Conditions,6.963158
Alaska,,64.762973,-147.310297,PM2.5 - Local Conditions,10.804854
Alaska,,64.762973,-147.310297,PM2.5 - Local Conditions,15.206646999999998
Alaska,Fairbanks,64.84593000000001,-147.69326999999996,PM2.5 - Local Conditions,8.724806
Alaska,Fairbanks,64.84593000000001,-147.69326999999996,PM2.5 - Local Conditions,8.274797
Alaska,,61.534163,-149.031655,PM2.5 - Local Conditions,6.076667
Arizona,Nazlini (Trading Post),35.880404,-109.43800300000001,PM2.5 - Local Conditions,1.881818
Arizona,Scottsdale,33.488131,-111.855443,PM2.5 - Local Conditions,5.62459
Arizona,Phoenix,33.503833,-112.095767,PM2.5 - Local Conditions,6.963025
Arizona,Casa Grande,32.877583,-111.752222,PM2.5 - Local Conditions,6.892436999999998
Arizona,Apache Junction,33.421194,-111.503222,PM2.5 - Local Conditions,4.235345
Arizona,Stanfield,32.884761,-112.03705,PM2.5 - Local Conditions,11.372951
Arizona,Nogales,31.337203999999996,-110.936718,PM2.5 - Local Conditions,8.377049000000001
Arkansas,Stuttgart,34.518515,-91.55896,PM2.5 - Local Conditions,7.930508000000001
Arkansas,Crossett,33.139471,-91.939208,PM2.5 - Local Conditions,8.195
Arkansas,Bella Vista,36.459691,-94.205662,PM2.5 - Local Conditions,8.660839
Arkansas,Bella Vista,36.435171999999994,-94.229248,PM2.5 - Local Conditions,7.772602999999998
Arkansas,Jonesboro,35.837638,-90.679516,PM2.5 - Local Conditions,7.524489999999999
Arkansas,Marion,35.197288,-90.193141,PM2.5 - Local Conditions,8.278151
Arkansas,Hot Springs (Hot Springs National Park),34.469441,-93.000178,PM2.5 - Local Conditions,8.827273
Arkansas,Newport,35.637283000000004,-91.188906,PM2.5 - Local Conditions,8.169231
Arkansas,Mena,34.583699,-94.226234,PM2.5 - Local Conditions,8.674166999999999
Arkansas,North Little Rock,34.756189,-92.281296,PM2.5 - Local Conditions,9.487989
Arkansas,Little Rock,34.681343,-92.328697,PM2.5 - Local Conditions,10.339831
Arkansas,El Dorado,33.220563,-92.672263,PM2.5 - Local Conditions,9.054167
Arkansas,Springdale,36.1797,-94.116827,PM2.5 - Local Conditions,8.0075
California,Chico,39.76168,-121.84047,PM2.5 - Local Conditions,6.164596
