state,count,mean,std,min,25%,50%,75%,max
Alabama,22.0,0.04123281818181818,0.0030346889640002835,0.036282999999999996,0.038517749999999996,0.041873999999999995,0.043869000000000005,0.045025
Alaska,2.0,0.028851500000000002,0.007056218569460559,0.023862,0.026356750000000005,0.028851500000000002,0.03134625,0.033841
Arizona,54.0,0.04717894444444443,0.002688436442672452,0.039959,0.045834,0.0469735,0.049248999999999994,0.052386
Arkansas,8.0,0.0395005,0.0020959006928491885,0.035541,0.03882175,0.039985,0.040498,0.042022
California,175.0,0.04304492571428573,0.007190538787717392,0.020109,0.0383215,0.042986,0.0486845,0.060326
Colorado,34.0,0.0462750588235294,0.003571335239147163,0.038922000000000005,0.045207750000000005,0.0467225,0.048658,0.055679999999999986
Connecticut,12.0,0.04423341666666667,0.002753630544252882,0.038413,0.043195250000000004,0.044769500000000004,0.046296000000000004,0.047632
Country Of Mexico,1.0,0.045291000000000005,,0.045291000000000005,0.045291000000000005,0.045291000000000005,0.045291000000000005,0.045291000000000005
Delaware,7.0,0.04350428571428572,0.002508820686716219,0.03848,0.04295499999999999,0.044652,0.0449735,0.045541000000000005
District Of Columbia,3.0,0.04253199999999999,0.0039073263237154885,0.039082,0.0404105,0.041739,0.044257,0.046775
Florida,58.0,0.03693505172413794,0.0018361087708331193,0.032443,0.03608775,0.0369365,0.038363999999999995,0.04034
Georgia,19.0,0.04261494736842106,0.0024569948779778433,0.038905,0.040914,0.042709,0.044295,0.048131
Hawaii,2.0,0.028130500000000003,0.0010231835123769345,0.027407,0.027768750000000002,0.028130500000000003,0.02849225,0.028854
Idaho,4.0,0.0372035,0.00767273221653582,0.027357,0.033879,0.037883,0.0412075,0.045691
Illinois,37.0,0.04218337837837838,0.0021078069481407996,0.036436,0.04086,0.042246,0.04365,0.046485000000000005
Indiana,42.0,0.04199857142857143,0.002017217271184184,0.036937,0.0409345,0.042304499999999995,0.0435785,0.045314
Iowa,24.0,0.039067083333333336,0.0015532170238535265,0.035571,0.038214750000000006,0.039252499999999996,0.04030875,0.041167
Kansas,9.0,0.04074844444444445,0.0021423242699875715,0.036338999999999996,0.039844,0.040728,0.042556,0.04295
Kentucky,29.0,0.042798137931034486,0.0018400184339941875,0.039145,0.041574,0.043037,0.044037,0.045558999999999995
Louisiana,22.0,0.036913,0.0017626719706713648,0.031672000000000006,0.036296999999999996,0.0368385,0.038038999999999996,0.039979
Maine,16.0,0.0359845,0.0024149652309436403,0.030483,0.035110749999999996,0.036354,0.037647,0.039669
Maryland,20.0,0.0453369,0.0024328644780219582,0.040863,0.04389975,0.045793,0.04708025,0.050029
Massachusetts,17.0,0.040428470588235295,0.0026868954928887497,0.033721,0.03934,0.041221,0.041864,0.044742
Michigan,29.0,0.039298896551724145,0.0021570763504738075,0.03405,0.037845,0.039376999999999995,0.041096,0.042888
Minnesota,17.0,0.03606458823529411,0.0018995183948445828,0.033032,0.034504,0.035920999999999995,0.037656,0.039505
Mississippi,10.0,0.039832900000000004,0.0018430452728508263,0.036517,0.038835499999999995,0.040271,0.041061,0.042344
Missouri,44.0,0.041932886363636374,0.0016247426302936248,0.037108999999999996,0.040805749999999995,0.0423045,0.04290775,0.044909
Montana,7.0,0.04085,0.001964651707894642,0.037221,0.0401895,0.041069,0.042175,0.042931
Nebraska,5.0,0.0374574,0.002729962875205447,0.034362000000000004,0.035039,0.038,0.039013,0.040873
Nevada,23.0,0.04546430434782609,0.003629126935263214,0.038997,0.0434745,0.044769,0.047493,0.052000000000000005
