State,Latitude,Longitude,Pollutant,Average,Pollutant Standard
Alabama,30.497478000000005,-87.880258,PM2.5 - Local Conditions,7.551402,PM25 Annual 2012
Alabama,33.284928,-85.803608,PM2.5 - Local Conditions,7.550467,PM25 Annual 2012
Alabama,34.762619,-87.638097,PM2.5 - Local Conditions,7.213235000000001,PM25 Annual 2012
Alabama,34.288567,-85.969858,PM2.5 - Local Conditions,7.55,PM25 Annual 2012
Alabama,33.991494,-85.99264699999999,PM2.5 - Local Conditions,8.410525999999999,PM25 Annual 2012
Alabama,31.224783000000002,-85.390789,PM2.5 - Local Conditions,8.115652,PM25 Annual 2012
Alabama,33.553056,-86.815,PM2.5 - Local Conditions,10.310833,PM25 Annual 2012
Alabama,33.553056,-86.815,PM2.5 - Local Conditions,10.1,PM25 Annual 2012
Alabama,33.553056,-86.815,PM2.5 - Local Conditions,10.552222,PM25 Annual 2012
Alabama,33.331111,-87.00361099999999,PM2.5 - Local Conditions,8.701667,PM25 Annual 2012
Alabama,33.331111,-87.00361099999999,PM2.5 - Local Conditions,8.396666999999999,PM25 Annual 2012
Alabama,33.545278,-86.54916700000001,PM2.5 - Local Conditions,8.363934,PM25 Annual 2012
Alabama,33.545278,-86.54916700000001,PM2.5 - Local Conditions,8.212903,PM25 Annual 2012
Alabama,33.499722,-86.92416700000001,PM2.5 - Local Conditions,8.705,PM25 Annual 2012
Alabama,33.499722,-86.92416700000001,PM2.5 - Local Conditions,8.070492,PM25 Annual 2012
Alabama,33.521427,-86.844112,PM2.5 - Local Conditions,9.435592999999999,PM25 Annual 2012
Alabama,34.687761,-86.586362,PM2.5 - Local Conditions,7.440179,PM25 Annual 2012
Alabama,34.687761,-86.586362,PM2.5 - Local Conditions,6.845,PM25 Annual 2012
Alabama,30.770181,-88.087761,PM2.5 - Local Conditions,8.302679,PM25 Annual 2012
Alabama,32.412811,-86.26339399999999,PM2.5 - Local Conditions,8.878378,PM25 Annual 2012
Alabama,32.412811,-86.26339399999999,PM2.5 - Local Conditions,8.864151,PM25 Annual 2012
Alabama,34.530716999999996,-86.967536,PM2.5 - Local Conditions,7.627826,PM25 Annual 2012
Alabama,32.437028000000005,-84.99965300000001,PM2.5 - Local Conditions,9.322881,PM25 Annual 2012
Alabama,32.437028000000005,-84.99965300000001,PM2.5 - Local Conditions,9.619417,PM25 Annual 2012
Alabama,32.437028000000005,-84.99965300000001,PM2.5 - Local Conditions,9.312978999999999,PM25 Annual 2012
Alabama,32.437028000000005,-84.99965300000001,PM2.5 - Local Conditions,9.312978999999999,PM25 Annual 2012
Alabama,33.189931,-87.484189,PM2.5 - Local Conditions,7.941964,PM25 Annual 2012
Alaska,61.205861,-149.824602,PM2.5 - Local Conditions,8.336963,PM25 Annual 2012
Alaska,61.3267,-149.569707,PM2.5 - Local Conditions,6.410983,PM25 Annual 2012
Alaska,64.840672,-147.722461,PM2.5 - Local Conditions,7.427439,PM25 Annual 2012
Alaska,64.840672,-147.722461,PM2.5 - Local Conditions,8.377059,PM25 Annual 2012
Alaska,64.840672,-147.722461,PM2.5 - Local Conditions,8.377059,PM25 Annual 2012
Alaska,64.840672,-147.722461,PM2.5 - Local Conditions,9.236667,PM25 Annual 2012
Alaska,64.84569,-147.72741299999998,PM2.5 - Local Conditions,9.796793,PM25 Annual 2012
Alaska,64.84569,-147.72741299999998,PM2.5 - Local Conditions,6.963158,PM25 Annual 2012
Alaska,64.84569,-147.72741299999998,PM2.5 - Local Conditions,9.796793,PM25 Annual 2012
Alaska,64.84569,-147.72741299999998,PM2.5 - Local Conditions,11.321100999999999,PM25 Annual 2012
Alaska,64.762973,-147.310297,PM2.5 - Local Conditions,10.804853999999999,PM25 Annual 2012
Alaska,64.762973,-147.310297,PM2.5 - Local Conditions,15.206647,PM25 Annual 2012
Alaska,64.762973,-147.310297,PM2.5 - Local Conditions,15.206647,PM25 Annual 2012
Alaska,64.762973,-147.310297,PM2.5 - Local Conditions,12.060255999999999,PM25 Annual 2012
Alaska,64.762973,-147.310297,PM2.5 - Local Conditions,14.806667000000001,PM25 Annual 2012
Alaska,64.84593000000001,-147.69326999999998,PM2.5 - Local Conditions,8.724806,PM25 Annual 2012
Alaska,64.84593000000001,-147.69326999999998,PM2.5 - Local Conditions,8.724806,PM25 Annual 2012
Alaska,64.84593000000001,-147.69326999999998,PM2.5 - Local Conditions,8.274797,PM25 Annual 2012
Alaska,58.388496999999994,-134.567237,PM2.5 - Local Conditions,6.821739,PM25 Annual 2012
Alaska,61.534163,-149.031655,PM2.5 - Local Conditions,6.076667,PM25 Annual 2012
Alaska,61.534163,-149.031655,PM2.5 - Local Conditions,6.488333,PM25 Annual 2012
Alaska,61.598898,-149.10622,PM2.5 - Local Conditions,4.69602,PM25 Annual 2012
Arizona,35.880404,-109.43800300000001,PM2.5 - Local Conditions,1.881818,PM25 Annual 2012
Arizona,35.880404,-109.43800300000001,PM2.5 - Local Conditions,2.4593220000000002,PM25 Annual 2012
Arizona,31.3492,-109.53968300000001,PM2.5 - Local Conditions,5.072269,PM25 Annual 2012
